CourseID,Title,Category,Sub_Category,Language,Skills,Instructor,Rating,Enrollments,Duration,Platform,PriceUSD,Certification,Level,ReleaseYear,Created_At
26,"Big Data Essentials","Data Science","Data Analysis",English,"Machine Learning, Excel, Data Analysis, Deep Learning, Python","Amanda Hill",4.6,41861,60,Coursera,49.00,1,Beginner,2024,"2025-07-22 15:56:44"
27,"Machine Learning by Stanford University","Data Science","Deep Learning",Hindi,"SQL, Excel, Python, Power BI, Data Analysis","Lee Steele",4.1,31156,54,Coursera,0.00,0,Beginner,2018,"2025-07-22 15:56:44"
28,"Excel to MySQL: Analytic Techniques","Data Science","Machine Learning",French,"Deep Learning, Power BI, R, Python, SQL","Steve Rivera",4.3,43471,55,Coursera,99.00,1,Advanced,2018,"2025-07-22 15:56:44"
29,"Introduction to Data Science in Python","Data Science","Machine Learning",English,"Data Analysis, SQL, Deep Learning, Python, Power BI","Patrick Mccall",3.0,89963,19,Udemy,0.00,0,Beginner,2023,"2025-07-22 15:56:44"
30,"The Science of Well-Being","Data Science","Big Data",Hindi,"Deep Learning, Excel, R, SQL, Machine Learning","Alicia Roth",4.4,65020,43,Udemy,299.00,1,Intermediate,2020,"2025-07-22 15:56:44"
31,"Excel to MySQL: Analytic Techniques","Data Science",Statistics,Hindi,"Python, Machine Learning, SQL, R, Excel","Douglas Vasquez",4.9,34606,14,Udemy,0.00,1,Advanced,2018,"2025-07-22 15:56:44"
32,"Business Analytics with Excel",Business,Leadership,Spanish,"Excel, Power BI, Critical Thinking, Leadership, Communication","Annette Melton",4.2,66508,45,edX,49.00,1,Beginner,2021,"2025-07-22 15:56:44"
33,"Machine Learning by Stanford University","Data Science","Data Analysis",Spanish,"Deep Learning, Excel, SQL, R, Python","William Ramos",3.6,21237,9,Coursera,199.00,1,Beginner,2021,"2025-07-22 15:56:44"
34,"Business Analytics with Excel",Business,Marketing,English,"Leadership, Critical Thinking, Power BI, Excel, Communication","Debra Butler",3.6,47479,49,Coursera,199.00,1,Advanced,2020,"2025-07-22 15:56:44"
35,"Full-Stack Web Development with React","Computer Science",Cybersecurity,French,"React, SQL, Azure, Python, AWS","Chelsea Lewis",3.6,97744,17,Udemy,29.00,1,Advanced,2019,"2025-07-22 15:56:44"
36,"SQL for Data Science","Data Science","Machine Learning",French,"Deep Learning, Machine Learning, Power BI, Excel, Data Analysis","Natalie Malone",3.9,60968,33,Udemy,299.00,1,Beginner,2023,"2025-07-22 15:56:44"
37,"The Science of Well-Being",Arts,"Creative Writing",Hindi,"Creativity, Communication, Design, Photography","Samantha Robertson",3.8,1928,32,Udemy,299.00,1,Beginner,2022,"2025-07-22 15:56:44"
38,"Applied Data Science with Python","Data Science","Deep Learning",Spanish,"Machine Learning, Python, Power BI, Excel, R","Eric Hunter",3.7,2941,36,FutureLearn,19.00,1,Beginner,2020,"2025-07-22 15:56:44"
39,"Machine Learning by Stanford University","Data Science",Statistics,French,"R, SQL, Power BI, Machine Learning, Excel","Samuel Suarez",4.9,21048,36,Coursera,49.00,1,Intermediate,2018,"2025-07-22 15:56:44"
40,"Business Analytics with Excel",Business,Leadership,French,"Communication, Critical Thinking, Power BI, Excel, Leadership","Corey Whitaker",4.6,54671,36,Coursera,19.00,1,Intermediate,2023,"2025-07-22 15:56:44"
41,"Java Programming and Software Engineering","Computer Science","Web Development",Hindi,"SQL, Azure, React, AWS, JavaScript","Danielle Bryant",4.1,44808,51,edX,99.00,1,Advanced,2024,"2025-07-22 15:56:44"
42,"AWS Cloud Practitioner Essentials","IT & Software",Cybersecurity,French,"Networking, DevOps, AWS, Critical Thinking, Azure","Michele Hill",3.5,42855,49,Udemy,29.00,1,Intermediate,2023,"2025-07-22 15:56:44"
43,"Statistics with Python","Data Science","Big Data",Hindi,"R, Excel, Data Analysis, Power BI, Deep Learning","Kathy Reid",4.8,42283,55,Udemy,199.00,1,Advanced,2022,"2025-07-22 15:56:44"
44,"Data Structures and Algorithms Specialization","Data Science",Statistics,Spanish,"Machine Learning, Power BI, SQL, Excel, R","Andre Watson",4.0,12628,29,Udemy,0.00,1,Advanced,2020,"2025-07-22 15:56:44"
45,"Business Analytics with Excel",Business,Leadership,French,"Power BI, Critical Thinking, Excel, Communication, Leadership","Cassandra Harrell",4.6,36303,50,Udemy,49.00,1,Intermediate,2024,"2025-07-22 15:56:44"
46,"Tableau Data Visualization","Data Science","Machine Learning",French,"Excel, SQL, Power BI, Python, Data Analysis","Hannah Martin",4.1,35850,25,FutureLearn,29.00,1,Intermediate,2022,"2025-07-22 15:56:44"
47,"Applied Data Science with Python","Data Science",Statistics,English,"Machine Learning, Power BI, Deep Learning, SQL, Python","Nicole Barker",4.5,25651,38,edX,29.00,1,Beginner,2024,"2025-07-22 15:56:44"
48,"Machine Learning by Stanford University","Data Science","Big Data",Hindi,"Power BI, Deep Learning, Python, Data Analysis, R","James Martin",3.6,3877,46,FutureLearn,19.00,1,Beginner,2020,"2025-07-22 15:56:44"
49,"Business Analytics with Excel",Business,Finance,French,"Excel, Critical Thinking, Communication, Power BI, Leadership","Traci Vincent",4.5,14222,22,FutureLearn,99.00,1,Intermediate,2019,"2025-07-22 15:56:44"
50,"Tableau Data Visualization","Data Science",Statistics,English,"Excel, Data Analysis, SQL, R, Deep Learning","Megan Adams",3.2,42899,40,FutureLearn,29.00,1,Intermediate,2019,"2025-07-22 15:56:44"
51,"Full-Stack Web Development with React","Computer Science",Cybersecurity,Spanish,"Azure, React, JavaScript, SQL, Python","Alejandro Deleon",3.8,42909,44,Coursera,199.00,1,Advanced,2020,"2025-07-22 15:56:44"
52,"Business Analytics with Excel",Business,Marketing,English,"Power BI, Leadership, Communication, Critical Thinking, Excel","Alexa Buck",4.9,18438,14,Coursera,49.00,1,Advanced,2019,"2025-07-22 15:56:44"
53,"Machine Learning by Stanford University","Data Science","Deep Learning",French,"SQL, Power BI, Data Analysis, Deep Learning, R","Lindsay Smith",3.7,9219,36,FutureLearn,0.00,1,Advanced,2018,"2025-07-22 15:56:44"
54,"SQL for Data Science","Data Science",Statistics,Hindi,"Power BI, Deep Learning, Machine Learning, SQL, Python","Robert Torres",3.9,15205,53,edX,299.00,1,Beginner,2019,"2025-07-22 15:56:44"
55,"Deep Learning Specialization","Data Science",Statistics,English,"Python, Excel, Deep Learning, SQL, Machine Learning","Maria Coleman",3.4,30595,14,Udemy,0.00,1,Advanced,2020,"2025-07-22 15:56:44"
56,"Full-Stack Web Development with React","Computer Science",Cybersecurity,English,"React, Azure, JavaScript, SQL, Python","Gregory King",4.3,91473,31,Coursera,49.00,1,Beginner,2019,"2025-07-22 15:56:44"
57,"Tableau Data Visualization","Data Science",Statistics,Spanish,"Python, SQL, Power BI, R, Machine Learning","Michael Holloway",4.4,76329,28,Udemy,0.00,0,Intermediate,2019,"2025-07-22 15:56:44"
58,"Full-Stack Web Development with React","Computer Science","Web Development",French,"AWS, JavaScript, SQL, Python, React","Brian Hunt",3.3,26522,53,edX,99.00,1,Intermediate,2019,"2025-07-22 15:56:44"
59,"Machine Learning by Stanford University","Data Science","Data Analysis",French,"R, Machine Learning, Python, Data Analysis, Power BI","Sarah Brooks",4.2,85481,47,FutureLearn,0.00,0,Beginner,2019,"2025-07-22 15:56:44"
60,"Python for Everybody","Data Science","Machine Learning",Spanish,"Python, Machine Learning, Excel, SQL, R","Lisa Evans",4.7,88469,18,edX,299.00,1,Intermediate,2021,"2025-07-22 15:56:44"
61,"AWS Cloud Practitioner Essentials","IT & Software","Cloud Computing",Hindi,"Azure, Networking, AWS, DevOps, Critical Thinking","Arthur Mcneil",4.7,43869,18,FutureLearn,0.00,1,Advanced,2021,"2025-07-22 15:56:44"
62,"Data Structures and Algorithms Specialization","Data Science","Data Analysis",Spanish,"Excel, Machine Learning, R, SQL, Power BI","Shannon Green",4.6,87528,59,Udemy,49.00,1,Beginner,2022,"2025-07-22 15:56:44"
63,"Introduction to Data Science in Python","Data Science","Machine Learning",English,"Python, Power BI, Excel, R, Deep Learning","Stephanie Evans",4.9,101,24,FutureLearn,299.00,1,Intermediate,2023,"2025-07-22 15:56:44"
64,"Google Data Analytics Certificate","Data Science",Statistics,Hindi,"Data Analysis, Python, Power BI, Excel, SQL","Ralph Yoder",4.9,97335,28,Coursera,199.00,1,Intermediate,2021,"2025-07-22 15:56:44"
65,"Applied Data Science with Python","Data Science","Machine Learning",Spanish,"R, Power BI, Python, Deep Learning, Data Analysis","Rebekah Greene",3.9,26925,12,Coursera,19.00,1,Intermediate,2019,"2025-07-22 15:56:44"
66,"Statistics with Python","Data Science","Machine Learning",Spanish,"SQL, Python, Deep Learning, Excel, Machine Learning","Melanie Griffith",3.5,92227,41,FutureLearn,299.00,1,Beginner,2023,"2025-07-22 15:56:44"
67,"Introduction to Data Science in Python","Data Science","Deep Learning",French,"Machine Learning, Python, Excel, Deep Learning, Power BI","Yolanda Green",3.9,61140,31,Udemy,0.00,0,Beginner,2022,"2025-07-22 15:56:44"
68,"Excel to MySQL: Analytic Techniques","Data Science","Machine Learning",Spanish,"SQL, Power BI, Data Analysis, Deep Learning, Machine Learning","James Johnson",3.0,35746,60,Udemy,19.00,1,Beginner,2023,"2025-07-22 15:56:44"
69,"Full-Stack Web Development with React","Computer Science","Cloud Computing",Hindi,"JavaScript, Azure, React, SQL, Python","Laura Lee",4.4,97424,8,edX,299.00,1,Intermediate,2018,"2025-07-22 15:56:44"
70,"Deep Learning Specialization","IT & Software",Networking,Spanish,"DevOps, Critical Thinking, Networking, AWS, Azure","Courtney Nichols",4.5,70979,14,edX,199.00,1,Advanced,2023,"2025-07-22 15:56:44"
71,"The Science of Well-Being","Computer Science","Cloud Computing",Spanish,"Python, AWS, React, Azure, SQL","Susan Powers",3.3,88266,53,FutureLearn,29.00,1,Advanced,2022,"2025-07-22 15:56:44"
72,"Cybersecurity for Business",Business,Finance,Spanish,"Communication, Critical Thinking, Leadership, Excel, Power BI","Sarah Pittman",4.3,59183,53,Udemy,29.00,1,Beginner,2020,"2025-07-22 15:56:44"
73,"Full-Stack Web Development with React","Computer Science","Web Development",Hindi,"AWS, SQL, Python, Azure, JavaScript","Catherine Davis",4.6,52050,10,FutureLearn,299.00,1,Beginner,2022,"2025-07-22 15:56:44"
74,"Machine Learning by Stanford University","Data Science",Statistics,Hindi,"Python, R, Excel, Power BI, Deep Learning","David Stokes",4.5,89754,50,edX,29.00,1,Intermediate,2018,"2025-07-22 15:56:44"
75,"Statistics with Python","Data Science","Data Analysis",Spanish,"Deep Learning, R, Machine Learning, Power BI, Excel","Catherine Frazier",4.5,90251,53,Coursera,19.00,1,Beginner,2023,"2025-07-22 15:56:44"
76,"Google Data Analytics Certificate","Data Science","Big Data",English,"Data Analysis, Power BI, Deep Learning, SQL, Python","Brandon Kelly",4.0,9564,49,edX,299.00,1,Beginner,2024,"2025-07-22 15:56:44"
77,"Statistics with Python","Data Science","Big Data",Hindi,"R, Power BI, SQL, Excel, Python","Elizabeth French",3.0,4176,23,Coursera,299.00,1,Beginner,2019,"2025-07-22 15:56:44"
78,"Business Analytics with Excel",Business,Leadership,French,"Leadership, Communication, Excel, Power BI, Critical Thinking","David Carter",3.0,78423,24,edX,29.00,1,Intermediate,2020,"2025-07-22 15:56:44"
79,"Google Data Analytics Certificate","Data Science","Deep Learning",English,"R, Machine Learning, Excel, Deep Learning, Power BI","Julie Delacruz",4.4,4231,36,edX,199.00,1,Intermediate,2018,"2025-07-22 15:56:44"
80,"The Science of Well-Being","Computer Science","Cloud Computing",French,"React, AWS, JavaScript, Python, SQL","Terry Jones",5.0,49903,7,FutureLearn,199.00,1,Beginner,2021,"2025-07-22 15:56:44"
81,"Business Analytics with Excel",Business,Marketing,French,"Power BI, Leadership, Critical Thinking, Communication, Excel","Kathryn Dillon",4.5,31737,43,FutureLearn,49.00,1,Beginner,2020,"2025-07-22 15:56:44"
82,"Excel to MySQL: Analytic Techniques","Data Science","Data Analysis",Hindi,"Excel, SQL, R, Machine Learning, Python","Edwin Brown",4.2,88605,54,Coursera,0.00,1,Advanced,2021,"2025-07-22 15:56:44"
83,"Big Data Essentials","Data Science","Machine Learning",English,"Data Analysis, Machine Learning, Excel, R, Power BI","Brenda Gonzalez",3.5,15523,49,FutureLearn,299.00,1,Beginner,2021,"2025-07-22 15:56:44"
84,"The Science of Well-Being","Computer Science","Web Development",Hindi,"JavaScript, SQL, AWS, Python, Azure","Keith Knox",4.9,10169,17,FutureLearn,199.00,1,Intermediate,2019,"2025-07-22 15:56:44"
85,"SQL for Data Science","Data Science","Machine Learning",Spanish,"Power BI, Excel, Deep Learning, SQL, Machine Learning","Eugene Baldwin",3.4,44673,60,FutureLearn,0.00,0,Beginner,2023,"2025-07-22 15:56:44"
86,"Java Programming and Software Engineering","Computer Science","Cloud Computing",English,"Azure, JavaScript, AWS, React, SQL","Katherine Welch",3.9,48160,55,FutureLearn,19.00,1,Beginner,2023,"2025-07-22 15:56:44"
87,"SQL for Data Science","Data Science",Statistics,English,"Deep Learning, Excel, R, Python, Machine Learning","Mark Smith",3.6,73144,49,FutureLearn,49.00,1,Beginner,2018,"2025-07-22 15:56:44"
88,"Data Structures and Algorithms Specialization","Data Science","Machine Learning",Hindi,"R, Deep Learning, Data Analysis, Machine Learning, Excel","Philip Jackson",4.8,18125,12,Coursera,99.00,1,Beginner,2018,"2025-07-22 15:56:44"
89,"Cybersecurity for Business",Business,Strategy,English,"Excel, Power BI, Critical Thinking, Communication, Leadership","Katherine Gallagher",4.9,86117,16,FutureLearn,49.00,1,Beginner,2022,"2025-07-22 15:56:44"
90,"The Science of Well-Being","Data Science","Deep Learning",Spanish,"Machine Learning, SQL, Data Analysis, Power BI, Excel","Lucas Schultz",3.1,1694,12,edX,0.00,1,Advanced,2022,"2025-07-22 15:56:44"
91,"Introduction to Data Science in Python","Data Science","Machine Learning",French,"R, Power BI, SQL, Data Analysis, Deep Learning","Vincent Reyes",4.6,24828,47,FutureLearn,299.00,1,Intermediate,2021,"2025-07-22 15:56:44"
92,"Natural Language Processing with Deep Learning",Business,Leadership,Hindi,"Excel, Critical Thinking, Communication, Leadership, Power BI","Curtis Watson",4.7,19158,60,Coursera,199.00,1,Intermediate,2022,"2025-07-22 15:56:44"
93,"Introduction to Data Science in Python","Data Science","Machine Learning",Spanish,"Data Analysis, SQL, Deep Learning, Machine Learning, Excel","Frank Whitaker",3.8,98714,32,Coursera,19.00,1,Intermediate,2024,"2025-07-22 15:56:44"
94,"SQL for Data Science","Data Science","Big Data",Hindi,"Python, SQL, Deep Learning, Data Analysis, Machine Learning","Michael Sims",4.5,16788,35,FutureLearn,49.00,1,Advanced,2024,"2025-07-22 15:56:44"
95,"The Science of Well-Being",Business,"Business Analytics",English,"Power BI, Communication, Excel, Leadership, Critical Thinking","Michael Cooper",3.8,73721,10,Udemy,99.00,1,Advanced,2018,"2025-07-22 15:56:44"
96,"AWS Cloud Practitioner Essentials","IT & Software",Networking,Spanish,"Networking, DevOps, Azure, Critical Thinking, AWS","James Chapman",4.8,61692,37,FutureLearn,29.00,1,Intermediate,2024,"2025-07-22 15:56:44"
97,"Applied Data Science with Python","Data Science",Statistics,English,"Data Analysis, Machine Learning, Excel, Python, Power BI","Rodney Evans",3.5,35255,22,edX,29.00,1,Advanced,2022,"2025-07-22 15:56:44"
98,"Java Programming and Software Engineering","Computer Science","Web Development",Spanish,"SQL, Azure, Python, AWS, JavaScript","Nicholas Carlson",3.4,44008,38,FutureLearn,29.00,1,Intermediate,2020,"2025-07-22 15:56:44"
99,"Deep Learning Specialization","IT & Software",DevOps,Spanish,"Azure, Critical Thinking, Networking, DevOps, AWS","Stephen Cowan",4.4,72570,25,Udemy,199.00,1,Intermediate,2022,"2025-07-22 15:56:44"
100,"Excel to MySQL: Analytic Techniques","Data Science",Statistics,Spanish,"Data Analysis, Python, Deep Learning, Excel, SQL","Steven Howard",3.4,84966,56,FutureLearn,19.00,1,Intermediate,2019,"2025-07-22 15:56:44"
101,"AWS Cloud Practitioner Essentials","IT & Software",DevOps,Spanish,"DevOps, Networking, Critical Thinking, Azure, AWS","Travis Hull",4.4,33200,12,FutureLearn,19.00,1,Advanced,2021,"2025-07-22 15:56:44"
102,"Natural Language Processing with Deep Learning","Data Science","Machine Learning",Spanish,"Machine Learning, Power BI, Data Analysis, Excel, R","Darryl Acosta",4.0,55214,17,edX,99.00,1,Beginner,2021,"2025-07-22 15:56:44"
103,"AWS Cloud Practitioner Essentials","IT & Software",DevOps,English,"Critical Thinking, AWS, Azure, Networking, DevOps","Nicholas Lawrence",3.3,16210,28,Coursera,29.00,1,Beginner,2024,"2025-07-22 15:56:44"
104,"AWS Cloud Practitioner Essentials","IT & Software","Cloud Computing",English,"Networking, AWS, Critical Thinking, Azure, DevOps","Jacob Santos",4.9,90110,32,Udemy,299.00,1,Beginner,2023,"2025-07-22 15:56:44"
105,"Big Data Essentials","Data Science",Statistics,French,"Python, Excel, Power BI, Data Analysis, R","Shawn Scott",3.5,28993,44,edX,29.00,1,Advanced,2020,"2025-07-22 15:56:44"
106,"Applied Data Science with Python","Data Science","Deep Learning",Hindi,"Data Analysis, Python, R, Deep Learning, Excel","Amber Vang",3.3,50336,18,Coursera,299.00,1,Beginner,2018,"2025-07-22 15:56:44"
107,"Data Structures and Algorithms Specialization","Data Science",Statistics,French,"R, Power BI, Machine Learning, Python, Excel","Martha Smith",3.4,60328,44,Udemy,19.00,1,Beginner,2019,"2025-07-22 15:56:44"
108,"Business Analytics with Excel",Business,Marketing,French,"Leadership, Power BI, Critical Thinking, Excel, Communication","Jennifer James",3.9,30532,11,Coursera,99.00,1,Intermediate,2023,"2025-07-22 15:56:44"
109,"Java Programming and Software Engineering","Computer Science","Cloud Computing",Spanish,"React, Python, Azure, SQL, AWS","Kara Hernandez",3.4,88352,36,FutureLearn,0.00,1,Advanced,2020,"2025-07-22 15:56:44"
110,"Tableau Data Visualization","Data Science","Data Analysis",French,"Python, Machine Learning, R, Deep Learning, Power BI","Lorraine Turner",4.2,48984,14,Coursera,299.00,1,Advanced,2024,"2025-07-22 15:56:44"
111,"Java Programming and Software Engineering","Computer Science","Cloud Computing",French,"Python, React, Azure, JavaScript, AWS","Mary Nelson",3.5,93807,23,Udemy,29.00,1,Intermediate,2022,"2025-07-22 15:56:44"
112,"Deep Learning Specialization",Arts,Design,English,"Design, Photography, Creativity, Communication","Breanna Rivas",3.8,45343,28,FutureLearn,199.00,1,Beginner,2021,"2025-07-22 15:56:44"
113,"AI For Everyone","Data Science","Big Data",Hindi,"Excel, Machine Learning, Python, Power BI, Data Analysis","Nathan Wilson",3.5,34160,35,Udemy,29.00,1,Beginner,2019,"2025-07-22 15:56:44"
114,"AWS Cloud Practitioner Essentials","IT & Software",Cybersecurity,Hindi,"AWS, DevOps, Azure, Critical Thinking, Networking","Brian Gonzalez",3.2,91236,40,Coursera,0.00,0,Intermediate,2018,"2025-07-22 15:56:44"
115,"Excel to MySQL: Analytic Techniques","Data Science",Statistics,French,"R, Machine Learning, SQL, Data Analysis, Deep Learning","Dennis Mills",3.6,24482,19,FutureLearn,299.00,1,Intermediate,2019,"2025-07-22 15:56:44"
116,"Statistics with Python","Data Science",Statistics,Hindi,"SQL, Excel, Python, R, Deep Learning","Michael Phillips",3.6,61736,32,Udemy,99.00,1,Beginner,2018,"2025-07-22 15:56:44"
117,"Applied Data Science with Python","Data Science","Deep Learning",English,"SQL, Python, Power BI, Data Analysis, Excel","Jon Clark",4.6,72640,53,edX,99.00,1,Advanced,2019,"2025-07-22 15:56:44"
118,"SQL for Data Science","Data Science","Deep Learning",Spanish,"Data Analysis, SQL, Python, Excel, Power BI","Erin Smith",4.0,2815,37,Coursera,299.00,1,Intermediate,2019,"2025-07-22 15:56:44"
119,"Data Structures and Algorithms Specialization","Data Science","Deep Learning",Spanish,"Python, Machine Learning, SQL, Deep Learning, R","Susan Conley",4.1,36705,34,Udemy,299.00,1,Intermediate,2019,"2025-07-22 15:56:44"
120,"Data Structures and Algorithms Specialization","Data Science","Machine Learning",French,"Machine Learning, SQL, Deep Learning, R, Python","Brittany Davis",3.3,37744,34,FutureLearn,0.00,1,Advanced,2024,"2025-07-22 15:56:44"
121,"Statistics with Python","Data Science","Big Data",French,"Power BI, R, Machine Learning, Excel, Data Analysis","Misty Garcia",4.5,68712,31,Udemy,299.00,1,Advanced,2024,"2025-07-22 15:56:44"
122,"AI For Everyone","Data Science","Big Data",Spanish,"Data Analysis, Power BI, Python, SQL, Deep Learning","David Hinton",4.7,15243,43,FutureLearn,99.00,1,Intermediate,2021,"2025-07-22 15:56:44"
123,"Cybersecurity for Business",Business,Marketing,English,"Communication, Leadership, Excel, Power BI, Critical Thinking","John Garcia",3.4,83783,53,Udemy,299.00,1,Intermediate,2024,"2025-07-22 15:56:44"
124,"Python for Everybody","Data Science",Statistics,English,"Data Analysis, Deep Learning, Excel, Machine Learning, SQL","Andrew Roberts",4.8,57644,21,FutureLearn,19.00,1,Intermediate,2021,"2025-07-22 15:56:44"
125,"Tableau Data Visualization","Data Science","Big Data",Hindi,"Deep Learning, SQL, Machine Learning, Power BI, Excel","Emily Rodgers",4.9,83989,11,edX,0.00,0,Intermediate,2018,"2025-07-22 15:56:44"
126,"Business Analytics with Excel",Business,Marketing,Spanish,"Critical Thinking, Power BI, Communication, Excel, Leadership","Peter Williams",3.7,67282,40,FutureLearn,99.00,1,Beginner,2024,"2025-07-22 15:56:44"
127,"Deep Learning Specialization",Arts,Design,Hindi,"Photography, Design, Creativity, Communication","Mary Jackson",3.0,13377,14,edX,99.00,1,Beginner,2018,"2025-07-22 15:56:44"
128,"AI For Everyone","Data Science",Statistics,French,"Machine Learning, Deep Learning, R, Data Analysis, Python","Jeffrey Howell",3.7,80437,34,edX,49.00,1,Advanced,2020,"2025-07-22 15:56:44"
129,"The Science of Well-Being","Computer Science",Cybersecurity,English,"JavaScript, AWS, Azure, Python, SQL","Anna Briggs",4.3,71926,51,Coursera,49.00,1,Beginner,2024,"2025-07-22 15:56:44"
130,"Python for Everybody","Data Science","Big Data",Hindi,"Deep Learning, Excel, Power BI, Machine Learning, Data Analysis","James Rivers",4.5,25833,10,FutureLearn,19.00,1,Intermediate,2021,"2025-07-22 15:56:44"
