CourseID,Title,Category,Sub_Category,Language,Skills,Instructor,Rating,Enrollments,Duration,Platform,PriceUSD,Certification,Level,ReleaseYear
20,Business Analytics with Excel,Business,Leadership,English,"Excel, Critical Thinking, Power BI, Communication, Leadership",Lisa Mills,4.2 stars,47598,33 hours,Udemy,$19,Yes,Intermediate,2018
21,Google Data Analytics Certificate,Data Science,Big Data,Hindi,"Deep Learning, Data Analysis, Python, Power BI, Excel",Jason Hernandez,4.2 stars,88884,30 hours,Udemy,$19,Yes,Beginner,2024
22,Data Structures and Algorithms Specialization,Data Science,Deep Learning,French,"Deep Learning, Data Analysis, Excel, Python, Power BI",Olivia Ayers,3.0 stars,77474,31 hours,Udemy,$99,Yes,Intermediate,2024
23,Natural Language Processing with Deep Learning,Computer Science,Web Development,English,"AWS, SQL, JavaScript, Python, Azure",Kristine Garcia,4.3 stars,91917,24 hours,edX,$19,Yes,Intermediate,2021
24,The Science of Well-Being,Computer Science,Programming,English,"SQL, React, JavaScript, Python, AWS",Joseph Cooper,4.5 stars,2618,24 hours,FutureLearn,$19,Yes,Beginner,2021
25,Full-Stack Web Development with React,Computer Science,Cloud Computing,Spanish,"React, JavaScript, SQL, Azure, Python",James Washington,4.6 stars,55741,31 hours,edX,$29,Yes,Beginner,2020
26,Big Data Essentials,Data Science,Data Analysis,English,"Machine Learning, Excel, Data Analysis, Deep Learning, Python",Amanda Hill,4.6 stars,41861,60 hours,Coursera,$49,Yes,Beginner,2024
27,Machine Learning by Stanford University,Data Science,Deep Learning,Hindi,"SQL, Excel, Python, Power BI, Data Analysis",Lee Steele,4.1 stars,31156,54 hours,Coursera,$0,No,Beginner,2018
28,Excel to MySQL: Analytic Techniques,Data Science,Machine Learning,French,"Deep Learning, Power BI, R, Python, SQL",Steve Rivera,4.3 stars,43471,55 hours,Coursera,$99,Yes,Advanced,2018
29,Introduction to Data Science in Python,Data Science,Machine Learning,English,"Data Analysis, SQL, Deep Learning, Python, Power BI",Patrick Mccall,3.0 stars,89963,19 hours,Udemy,$0,No,Beginner,2023
30,The Science of Well-Being,Data Science,Big Data,Hindi,"Deep Learning, Excel, R, SQL, Machine Learning",Alicia Roth,4.4 stars,65020,43 hours,Udemy,$299,Yes,Intermediate,2020
31,Excel to MySQL: Analytic Techniques,Data Science,Statistics,Hindi,"Python, Machine Learning, SQL, R, Excel",Douglas Vasquez,4.9 stars,34606,14 hours,Udemy,$0,Yes,Advanced,2018
32,Business Analytics with Excel,Business,Leadership,Spanish,"Excel, Power BI, Critical Thinking, Leadership, Communication",Annette Melton,4.2 stars,66508,45 hours,edX,$49,Yes,Beginner,2021
33,Machine Learning by Stanford University,Data Science,Data Analysis,Spanish,"Deep Learning, Excel, SQL, R, Python",William Ramos,3.6 stars,21237,9 hours,Coursera,$199,Yes,Beginner,2021
34,Business Analytics with Excel,Business,Marketing,English,"Leadership, Critical Thinking, Power BI, Excel, Communication",Debra Butler,3.6 stars,47479,49 hours,Coursera,$199,Yes,Advanced,2020
35,Full-Stack Web Development with React,Computer Science,Cybersecurity,French,"React, SQL, Azure, Python, AWS",Chelsea Lewis,3.6 stars,97744,17 hours,Udemy,$29,Yes,Advanced,2019
36,SQL for Data Science,Data Science,Machine Learning,French,"Deep Learning, Machine Learning, Power BI, Excel, Data Analysis",Natalie Malone,3.9 stars,60968,33 hours,Udemy,$299,Yes,Beginner,2023
37,The Science of Well-Being,Arts,Creative Writing,Hindi,"Creativity, Communication, Design, Photography",Samantha Robertson,3.8 stars,1928,32 hours,Udemy,$299,Yes,Beginner,2022
38,Applied Data Science with Python,Data Science,Deep Learning,Spanish,"Machine Learning, Python, Power BI, Excel, R",Eric Hunter,3.7 stars,2941,36 hours,FutureLearn,$19,Yes,Beginner,2020
39,Machine Learning by Stanford University,Data Science,Statistics,French,"R, SQL, Power BI, Machine Learning, Excel",Samuel Suarez,4.9 stars,21048,36 hours,Coursera,$49,Yes,Intermediate,2018
40,Business Analytics with Excel,Business,Leadership,French,"Communication, Critical Thinking, Power BI, Excel, Leadership",Corey Whitaker,4.6 stars,54671,36 hours,Coursera,$19,Yes,Intermediate,2023
41,Java Programming and Software Engineering,Computer Science,Web Development,Hindi,"SQL, Azure, React, AWS, JavaScript",Danielle Bryant,4.1 stars,44808,51 hours,edX,$99,Yes,Advanced,2024
42,AWS Cloud Practitioner Essentials,IT & Software,Cybersecurity,French,"Networking, DevOps, AWS, Critical Thinking, Azure",Michele Hill,3.5 stars,42855,49 hours,Udemy,$29,Yes,Intermediate,2023
43,Statistics with Python,Data Science,Big Data,Hindi,"R, Excel, Data Analysis, Power BI, Deep Learning",Kathy Reid,4.8 stars,42283,55 hours,Udemy,$199,Yes,Advanced,2022
44,Data Structures and Algorithms Specialization,Data Science,Statistics,Spanish,"Machine Learning, Power BI, SQL, Excel, R",Andre Watson,4.0 stars,12628,29 hours,Udemy,$0,Yes,Advanced,2020
45,Business Analytics with Excel,Business,Leadership,French,"Power BI, Critical Thinking, Excel, Communication, Leadership",Cassandra Harrell,4.6 stars,36303,50 hours,Udemy,$49,Yes,Intermediate,2024
46,Tableau Data Visualization,Data Science,Machine Learning,French,"Excel, SQL, Power BI, Python, Data Analysis",Hannah Martin,4.1 stars,35850,25 hours,FutureLearn,$29,Yes,Intermediate,2022
47,Applied Data Science with Python,Data Science,Statistics,English,"Machine Learning, Power BI, Deep Learning, SQL, Python",Nicole Barker,4.5 stars,25651,38 hours,edX,$29,Yes,Beginner,2024
48,Machine Learning by Stanford University,Data Science,Big Data,Hindi,"Power BI, Deep Learning, Python, Data Analysis, R",James Martin,3.6 stars,3877,46 hours,FutureLearn,$19,Yes,Beginner,2020
49,Business Analytics with Excel,Business,Finance,French,"Excel, Critical Thinking, Communication, Power BI, Leadership",Traci Vincent,4.5 stars,14222,22 hours,FutureLearn,$99,Yes,Intermediate,2019
50,Tableau Data Visualization,Data Science,Statistics,English,"Excel, Data Analysis, SQL, R, Deep Learning",Megan Adams,3.2 stars,42899,40 hours,FutureLearn,$29,Yes,Intermediate,2019
51,Full-Stack Web Development with React,Computer Science,Cybersecurity,Spanish,"Azure, React, JavaScript, SQL, Python",Alejandro Deleon,3.8 stars,42909,44 hours,Coursera,$199,Yes,Advanced,2020
52,Business Analytics with Excel,Business,Marketing,English,"Power BI, Leadership, Communication, Critical Thinking, Excel",Alexa Buck,4.9 stars,18438,14 hours,Coursera,$49,Yes,Advanced,2019
53,Machine Learning by Stanford University,Data Science,Deep Learning,French,"SQL, Power BI, Data Analysis, Deep Learning, R",Lindsay Smith,3.7 stars,9219,36 hours,FutureLearn,$0,Yes,Advanced,2018
54,SQL for Data Science,Data Science,Statistics,Hindi,"Power BI, Deep Learning, Machine Learning, SQL, Python",Robert Torres,3.9 stars,15205,53 hours,edX,$299,Yes,Beginner,2019
55,Deep Learning Specialization,Data Science,Statistics,English,"Python, Excel, Deep Learning, SQL, Machine Learning",Maria Coleman,3.4 stars,30595,14 hours,Udemy,$0,Yes,Advanced,2020
56,Full-Stack Web Development with React,Computer Science,Cybersecurity,English,"React, Azure, JavaScript, SQL, Python",Gregory King,4.3 stars,91473,31 hours,Coursera,$49,Yes,Beginner,2019
57,Tableau Data Visualization,Data Science,Statistics,Spanish,"Python, SQL, Power BI, R, Machine Learning",Michael Holloway,4.4 stars,76329,28 hours,Udemy,$0,No,Intermediate,2019
58,Full-Stack Web Development with React,Computer Science,Web Development,French,"AWS, JavaScript, SQL, Python, React",Brian Hunt,3.3 stars,26522,53 hours,edX,$99,Yes,Intermediate,2019
59,Machine Learning by Stanford University,Data Science,Data Analysis,French,"R, Machine Learning, Python, Data Analysis, Power BI",Sarah Brooks,4.2 stars,85481,47 hours,FutureLearn,$0,No,Beginner,2019
60,Python for Everybody,Data Science,Machine Learning,Spanish,"Python, Machine Learning, Excel, SQL, R",Lisa Evans,4.7 stars,88469,18 hours,edX,$299,Yes,Intermediate,2021
61,AWS Cloud Practitioner Essentials,IT & Software,Cloud Computing,Hindi,"Azure, Networking, AWS, DevOps, Critical Thinking",Arthur Mcneil,4.7 stars,43869,18 hours,FutureLearn,$0,Yes,Advanced,2021
62,Data Structures and Algorithms Specialization,Data Science,Data Analysis,Spanish,"Excel, Machine Learning, R, SQL, Power BI",Shannon Green,4.6 stars,87528,59 hours,Udemy,$49,Yes,Beginner,2022
63,Introduction to Data Science in Python,Data Science,Machine Learning,English,"Python, Power BI, Excel, R, Deep Learning",Stephanie Evans,4.9 stars,101,24 hours,FutureLearn,$299,Yes,Intermediate,2023
64,Google Data Analytics Certificate,Data Science,Statistics,Hindi,"Data Analysis, Python, Power BI, Excel, SQL",Ralph Yoder,4.9 stars,97335,28 hours,Coursera,$199,Yes,Intermediate,2021
65,Applied Data Science with Python,Data Science,Machine Learning,Spanish,"R, Power BI, Python, Deep Learning, Data Analysis",Rebekah Greene,3.9 stars,26925,12 hours,Coursera,$19,Yes,Intermediate,2019
66,Statistics with Python,Data Science,Machine Learning,Spanish,"SQL, Python, Deep Learning, Excel, Machine Learning",Melanie Griffith,3.5 stars,92227,41 hours,FutureLearn,$299,Yes,Beginner,2023
67,Introduction to Data Science in Python,Data Science,Deep Learning,French,"Machine Learning, Python, Excel, Deep Learning, Power BI",Yolanda Green,3.9 stars,61140,31 hours,Udemy,$0,No,Beginner,2022
68,Excel to MySQL: Analytic Techniques,Data Science,Machine Learning,Spanish,"SQL, Power BI, Data Analysis, Deep Learning, Machine Learning",James Johnson,3.0 stars,35746,60 hours,Udemy,$19,Yes,Beginner,2023
69,Full-Stack Web Development with React,Computer Science,Cloud Computing,Hindi,"JavaScript, Azure, React, SQL, Python",Laura Lee,4.4 stars,97424,8 hours,edX,$299,Yes,Intermediate,2018
70,Deep Learning Specialization,IT & Software,Networking,Spanish,"DevOps, Critical Thinking, Networking, AWS, Azure",Courtney Nichols,4.5 stars,70979,14 hours,edX,$199,Yes,Advanced,2023
71,The Science of Well-Being,Computer Science,Cloud Computing,Spanish,"Python, AWS, React, Azure, SQL",Susan Powers,3.3 stars,88266,53 hours,FutureLearn,$29,Yes,Advanced,2022
72,Cybersecurity for Business,Business,Finance,Spanish,"Communication, Critical Thinking, Leadership, Excel, Power BI",Sarah Pittman,4.3 stars,59183,53 hours,Udemy,$29,Yes,Beginner,2020
73,Full-Stack Web Development with React,Computer Science,Web Development,Hindi,"AWS, SQL, Python, Azure, JavaScript",Catherine Davis,4.6 stars,52050,10 hours,FutureLearn,$299,Yes,Beginner,2022
74,Machine Learning by Stanford University,Data Science,Statistics,Hindi,"Python, R, Excel, Power BI, Deep Learning",David Stokes,4.5 stars,89754,50 hours,edX,$29,Yes,Intermediate,2018
75,Statistics with Python,Data Science,Data Analysis,Spanish,"Deep Learning, R, Machine Learning, Power BI, Excel",Catherine Frazier,4.5 stars,90251,53 hours,Coursera,$19,Yes,Beginner,2023
76,Google Data Analytics Certificate,Data Science,Big Data,English,"Data Analysis, Power BI, Deep Learning, SQL, Python",Brandon Kelly,4.0 stars,9564,49 hours,edX,$299,Yes,Beginner,2024
77,Statistics with Python,Data Science,Big Data,Hindi,"R, Power BI, SQL, Excel, Python",Elizabeth French,3.0 stars,4176,23 hours,Coursera,$299,Yes,Beginner,2019
78,Business Analytics with Excel,Business,Leadership,French,"Leadership, Communication, Excel, Power BI, Critical Thinking",David Carter,3.0 stars,78423,24 hours,edX,$29,Yes,Intermediate,2020
79,Google Data Analytics Certificate,Data Science,Deep Learning,English,"R, Machine Learning, Excel, Deep Learning, Power BI",Julie Delacruz,4.4 stars,4231,36 hours,edX,$199,Yes,Intermediate,2018
80,The Science of Well-Being,Computer Science,Cloud Computing,French,"React, AWS, JavaScript, Python, SQL",Terry Jones,5.0 stars,49903,7 hours,FutureLearn,$199,Yes,Beginner,2021
81,Business Analytics with Excel,Business,Marketing,French,"Power BI, Leadership, Critical Thinking, Communication, Excel",Kathryn Dillon,4.5 stars,31737,43 hours,FutureLearn,$49,Yes,Beginner,2020
82,Excel to MySQL: Analytic Techniques,Data Science,Data Analysis,Hindi,"Excel, SQL, R, Machine Learning, Python",Edwin Brown,4.2 stars,88605,54 hours,Coursera,$0,Yes,Advanced,2021
83,Big Data Essentials,Data Science,Machine Learning,English,"Data Analysis, Machine Learning, Excel, R, Power BI",Brenda Gonzalez,3.5 stars,15523,49 hours,FutureLearn,$299,Yes,Beginner,2021
84,The Science of Well-Being,Computer Science,Web Development,Hindi,"JavaScript, SQL, AWS, Python, Azure",Keith Knox,4.9 stars,10169,17 hours,FutureLearn,$199,Yes,Intermediate,2019
85,SQL for Data Science,Data Science,Machine Learning,Spanish,"Power BI, Excel, Deep Learning, SQL, Machine Learning",Eugene Baldwin,3.4 stars,44673,60 hours,FutureLearn,$0,No,Beginner,2023
86,Java Programming and Software Engineering,Computer Science,Cloud Computing,English,"Azure, JavaScript, AWS, React, SQL",Katherine Welch,3.9 stars,48160,55 hours,FutureLearn,$19,Yes,Beginner,2023
87,SQL for Data Science,Data Science,Statistics,English,"Deep Learning, Excel, R, Python, Machine Learning",Mark Smith,3.6 stars,73144,49 hours,FutureLearn,$49,Yes,Beginner,2018
88,Data Structures and Algorithms Specialization,Data Science,Machine Learning,Hindi,"R, Deep Learning, Data Analysis, Machine Learning, Excel",Philip Jackson,4.8 stars,18125,12 hours,Coursera,$99,Yes,Beginner,2018
89,Cybersecurity for Business,Business,Strategy,English,"Excel, Power BI, Critical Thinking, Communication, Leadership",Katherine Gallagher,4.9 stars,86117,16 hours,FutureLearn,$49,Yes,Beginner,2022
90,The Science of Well-Being,Data Science,Deep Learning,Spanish,"Machine Learning, SQL, Data Analysis, Power BI, Excel",Lucas Schultz,3.1 stars,1694,12 hours,edX,$0,Yes,Advanced,2022
91,Introduction to Data Science in Python,Data Science,Machine Learning,French,"R, Power BI, SQL, Data Analysis, Deep Learning",Vincent Reyes,4.6 stars,24828,47 hours,FutureLearn,$299,Yes,Intermediate,2021
92,Natural Language Processing with Deep Learning,Business,Leadership,Hindi,"Excel, Critical Thinking, Communication, Leadership, Power BI",Curtis Watson,4.7 stars,19158,60 hours,Coursera,$199,Yes,Intermediate,2022
93,Introduction to Data Science in Python,Data Science,Machine Learning,Spanish,"Data Analysis, SQL, Deep Learning, Machine Learning, Excel",Frank Whitaker,3.8 stars,98714,32 hours,Coursera,$19,Yes,Intermediate,2024
94,SQL for Data Science,Data Science,Big Data,Hindi,"Python, SQL, Deep Learning, Data Analysis, Machine Learning",Michael Sims,4.5 stars,16788,35 hours,FutureLearn,$49,Yes,Advanced,2024
95,The Science of Well-Being,Business,Business Analytics,English,"Power BI, Communication, Excel, Leadership, Critical Thinking",Michael Cooper,3.8 stars,73721,10 hours,Udemy,$99,Yes,Advanced,2018
96,AWS Cloud Practitioner Essentials,IT & Software,Networking,Spanish,"Networking, DevOps, Azure, Critical Thinking, AWS",James Chapman,4.8 stars,61692,37 hours,FutureLearn,$29,Yes,Intermediate,2024
97,Applied Data Science with Python,Data Science,Statistics,English,"Data Analysis, Machine Learning, Excel, Python, Power BI",Rodney Evans,3.5 stars,35255,22 hours,edX,$29,Yes,Advanced,2022
98,Java Programming and Software Engineering,Computer Science,Web Development,Spanish,"SQL, Azure, Python, AWS, JavaScript",Nicholas Carlson,3.4 stars,44008,38 hours,FutureLearn,$29,Yes,Intermediate,2020
99,Deep Learning Specialization,IT & Software,DevOps,Spanish,"Azure, Critical Thinking, Networking, DevOps, AWS",Stephen Cowan,4.4 stars,72570,25 hours,Udemy,$199,Yes,Intermediate,2022
100,Excel to MySQL: Analytic Techniques,Data Science,Statistics,Spanish,"Data Analysis, Python, Deep Learning, Excel, SQL",Steven Howard,3.4 stars,84966,56 hours,FutureLearn,$19,Yes,Intermediate,2019
101,AWS Cloud Practitioner Essentials,IT & Software,DevOps,Spanish,"DevOps, Networking, Critical Thinking, Azure, AWS",Travis Hull,4.2 stars,33200,12 hours,FutureLearn,$19,Yes,Advanced,2021
102,Natural Language Processing with Deep Learning,Data Science,Machine Learning,Spanish,"Machine Learning, Power BI, Data Analysis, Excel, R",Darryl Acosta,4.0 stars,55214,17 hours,edX,$99,Yes,Beginner,2021
103,AWS Cloud Practitioner Essentials,IT & Software,DevOps,English,"Critical Thinking, AWS, Azure, Networking, DevOps",Nicholas Lawrence,3.3 stars,16210,28 hours,Coursera,$29,Yes,Beginner,2024
104,AWS Cloud Practitioner Essentials,IT & Software,Cloud Computing,English,"Networking, AWS, Critical Thinking, Azure, DevOps",Jacob Santos,4.9 stars,90110,32 hours,Udemy,$299,Yes,Beginner,2023
105,Big Data Essentials,Data Science,Statistics,French,"Python, Excel, Power BI, Data Analysis, R",Shawn Scott,3.5 stars,28993,44 hours,edX,$29,Yes,Advanced,2020
106,Applied Data Science with Python,Data Science,Deep Learning,Hindi,"Data Analysis, Python, R, Deep Learning, Excel",Amber Vang,3.3 stars,50336,18 hours,Coursera,$299,Yes,Beginner,2018
107,Data Structures and Algorithms Specialization,Data Science,Statistics,French,"R, Power BI, Machine Learning, Python, Excel",Martha Smith,3.4 stars,60328,44 hours,Udemy,$19,Yes,Beginner,2019
108,Business Analytics with Excel,Business,Marketing,French,"Leadership, Power BI, Critical Thinking, Excel, Communication",Jennifer James,3.9 stars,30532,11 hours,Coursera,$99,Yes,Intermediate,2023
109,Java Programming and Software Engineering,Computer Science,Cloud Computing,Spanish,"React, Python, Azure, SQL, AWS",Kara Hernandez,3.4 stars,88352,36 hours,FutureLearn,$0,Yes,Advanced,2020
110,Tableau Data Visualization,Data Science,Data Analysis,French,"Python, Machine Learning, R, Deep Learning, Power BI",Lorraine Turner,4.2 stars,48984,14 hours,Coursera,$299,Yes,Advanced,2024
111,Java Programming and Software Engineering,Computer Science,Cloud Computing,French,"Python, React, Azure, JavaScript, AWS",Mary Nelson,3.5 stars,93807,23 hours,Udemy,$29,Yes,Intermediate,2022
112,Deep Learning Specialization,Arts,Design,English,"Design, Photography, Creativity, Communication",Breanna Rivas,3.8 stars,45343,28 hours,FutureLearn,$199,Yes,Beginner,2021
113,AI For Everyone,Data Science,Big Data,Hindi,"Excel, Machine Learning, Python, Power BI, Data Analysis",Nathan Wilson,3.5 stars,34160,35 hours,Udemy,$29,Yes,Beginner,2019
114,AWS Cloud Practitioner Essentials,IT & Software,Cybersecurity,Hindi,"AWS, DevOps, Azure, Critical Thinking, Networking",Brian Gonzalez,3.2 stars,91236,40 hours,Coursera,$0,No,Intermediate,2018
115,Excel to MySQL: Analytic Techniques,Data Science,Statistics,French,"R, Machine Learning, SQL, Data Analysis, Deep Learning",Dennis Mills,3.6 stars,24482,19 hours,FutureLearn,$299,Yes,Intermediate,2019
116,Statistics with Python,Data Science,Statistics,Hindi,"SQL, Excel, Python, R, Deep Learning",Michael Phillips,3.6 stars,61736,32 hours,Udemy,$99,Yes,Beginner,2018
117,Applied Data Science with Python,Data Science,Deep Learning,English,"SQL, Python, Power BI, Data Analysis, Excel",Jon Clark,4.6 stars,72640,53 hours,edX,$99,Yes,Advanced,2019
118,SQL for Data Science,Data Science,Deep Learning,Spanish,"Data Analysis, SQL, Python, Excel, Power BI",Erin Smith,4.0 stars,2815,37 hours,Coursera,$299,Yes,Intermediate,2019
119,Data Structures and Algorithms Specialization,Data Science,Deep Learning,Spanish,"Python, Machine Learning, SQL, Deep Learning, R",Susan Conley,4.1 stars,36705,34 hours,Udemy,$299,Yes,Intermediate,2019
120,Data Structures and Algorithms Specialization,Data Science,Machine Learning,French,"Machine Learning, SQL, Deep Learning, R, Python",Brittany Davis,3.3 stars,37744,34 hours,FutureLearn,$0,Yes,Advanced,2024
121,Statistics with Python,Data Science,Big Data,French,"Power BI, R, Machine Learning, Excel, Data Analysis",Misty Garcia,4.5 stars,68712,31 hours,Udemy,$299,Yes,Advanced,2024
122,AI For Everyone,Data Science,Big Data,Spanish,"Data Analysis, Power BI, Python, SQL, Deep Learning",David Hinton,4.7 stars,15243,43 hours,FutureLearn,$99,Yes,Intermediate,2021
123,Cybersecurity for Business,Business,Marketing,English,"Communication, Leadership, Excel, Power BI, Critical Thinking",John Garcia,3.4 stars,83783,53 hours,Udemy,$299,Yes,Intermediate,2024
124,Python for Everybody,Data Science,Statistics,English,"Data Analysis, Deep Learning, Excel, Machine Learning, SQL",Andrew Roberts,4.8 stars,57644,21 hours,FutureLearn,$19,Yes,Intermediate,2021
125,Tableau Data Visualization,Data Science,Big Data,Hindi,"Deep Learning, SQL, Machine Learning, Power BI, Excel",Emily Rodgers,4.9 stars,83989,11 hours,edX,$0,No,Intermediate,2018
126,Business Analytics with Excel,Business,Marketing,Spanish,"Critical Thinking, Power BI, Communication, Excel, Leadership",Peter Williams,3.7 stars,67282,40 hours,FutureLearn,$99,Yes,Beginner,2024
127,Deep Learning Specialization,Arts,Design,Hindi,"Photography, Design, Creativity, Communication",Mary Jackson,3.0 stars,13377,14 hours,edX,$99,Yes,Beginner,2018
128,AI For Everyone,Data Science,Statistics,French,"Machine Learning, Deep Learning, R, Data Analysis, Python",Jeffrey Howell,3.7 stars,80437,34 hours,edX,$49,Yes,Advanced,2020
129,The Science of Well-Being,Computer Science,Cybersecurity,English,"JavaScript, AWS, Azure, Python, SQL",Anna Briggs,4.3 stars,71926,51 hours,Coursera,$49,Yes,Beginner,2024
130,Python for Everybody,Data Science,Big Data,Hindi,"Deep Learning, Excel, Power BI, Machine Learning, Data Analysis",James Rivers,4.5 stars,25833,10 hours,FutureLearn,$19,Yes,Intermediate,2021
131,Business Analytics with Excel,Business,Business Analytics,French,"Leadership, Power BI, Excel, Critical Thinking, Communication",James Jefferson,4.1 stars,54834,56 hours,Udemy,$19,Yes,Intermediate,2022
132,Google Data Analytics Certificate,Data Science,Statistics,English,"R, SQL, Python, Deep Learning, Power BI",Mariah Robles,3.5 stars,63363,55 hours,Coursera,$299,Yes,Beginner,2021
133,AI For Everyone,Data Science,Deep Learning,Spanish,"Excel, Python, Power BI, Machine Learning, Data Analysis",Michael Brown,4.7 stars,33927,41 hours,edX,$99,Yes,Advanced,2023
134,Big Data Essentials,Data Science,Data Analysis,Hindi,"Data Analysis, Deep Learning, Power BI, R, Excel",Caitlin Perry,3.5 stars,3013,32 hours,FutureLearn,$299,Yes,Intermediate,2020
135,Google Data Analytics Certificate,Data Science,Statistics,Spanish,"R, Machine Learning, Deep Learning, Power BI, Python",Rebekah Gregory,4.6 stars,33869,11 hours,Udemy,$99,Yes,Advanced,2019
136,Big Data Essentials,Data Science,Deep Learning,French,"Machine Learning, Excel, SQL, Python, Data Analysis",James Howard,3.8 stars,43512,24 hours,Coursera,$49,Yes,Beginner,2019
137,Python for Everybody,Data Science,Statistics,French,"Excel, Deep Learning, Python, Data Analysis, Power BI",Michael Roberson,4.6 stars,20291,31 hours,FutureLearn,$49,Yes,Beginner,2020
138,Big Data Essentials,Data Science,Data Analysis,Hindi,"SQL, Data Analysis, Excel, Machine Learning, R",Bianca Knapp,3.8 stars,30916,23 hours,Udemy,$49,Yes,Advanced,2024
139,AI For Everyone,Data Science,Deep Learning,English,"Deep Learning, SQL, R, Data Analysis, Machine Learning",Jason Williams,3.2 stars,10888,55 hours,Coursera,$299,Yes,Beginner,2022
140,Statistics with Python,Data Science,Big Data,French,"Excel, Python, Deep Learning, SQL, Power BI",Ernest Bush,3.4 stars,17595,23 hours,edX,$0,Yes,Advanced,2023
141,Applied Data Science with Python,Data Science,Data Analysis,English,"SQL, Python, Excel, Data Analysis, R",Patricia Ray,5.0 stars,10893,7 hours,Coursera,$0,No,Beginner,2024
142,The Science of Well-Being,Business,Finance,Spanish,"Critical Thinking, Leadership, Excel, Communication, Power BI",Vanessa Santiago,3.3 stars,60699,43 hours,edX,$299,Yes,Beginner,2023
143,Machine Learning by Stanford University,Data Science,Statistics,French,"SQL, Machine Learning, R, Excel, Data Analysis",Joseph Haynes,4.7 stars,87264,15 hours,FutureLearn,$0,No,Intermediate,2020
